code_insee,code_postal,eurocircos_name,comsimp_name,pref_related,latitude,longitude
01001,01400,L'Abergement-Clémenciat,L'Abergement-Clémenciat,Bourg-en-Bresse,46.15,4.916667
01002,01640,L'Abergement-de-Varey,L'Abergement-de-Varey,Belley,46,5.416667
01004,01500,Ambérieu-en-Bugey,Ambérieu-en-Bugey,Belley,45.95,5.35
01005,01330,Ambérieux-en-Dombes,Ambérieux-en-Dombes,Bourg-en-Bresse,46,4.9
01006,01300,Ambléon,Ambléon,Belley,45.75,5.6
01007,01500,Ambronay,Ambronay,Belley,46,5.35
01008,01500,Ambutrix,Ambutrix,Belley,45.933333,5.333333
01009,01300,Andert-et-Condon,Andert-et-Condon,Belley,45.8,5.65
01010,01350,Anglefort,Anglefort,Belley,45.916667,5.808333
01011,01100,Apremont,Apremont,Nantua,46.208333,5.658333
01012,01110,Aranc,Aranc,Belley,46,5.5
01013,01230,Arandas,Arandas,Belley,45.9,5.483333
01014,01100,Arbent,Arbent,Nantua,46.3,5.683333
01015,01300,Arbignieu,Arboys en Bugey,Belley,45.733333,5.65
01016,01190,Arbigny,Arbigny,Bourg-en-Bresse,46.466667,4.966667
01017,01230,Argis,Argis,Belley,45.933333,5.483333
01019,01510,Armix,Armix,Belley,45.85,5.583333
01021,01480,Ars-sur-Formans,Ars-sur-Formans,Bourg-en-Bresse,45.983333,4.816667
01022,01510,Artemare,Artemare,Belley,45.866667,5.7
01023,01570,Asnières-sur-Saône,Asnières-sur-Saône,Bourg-en-Bresse,46.383333,4.883333
01024,01340,Attignat,Attignat,Bourg-en-Bresse,46.283333,5.166667
01025,01380,Bâgé-la-Ville,Bâgé-Dommartin,Bourg-en-Bresse,46.316667,4.95
01026,01380,Bâgé-le-Châtel,Bâgé-le-Châtel,Bourg-en-Bresse,46.3,4.933333
01027,01360,Balan,Balan,Bourg-en-Bresse,45.833333,5.1
01028,01990,Baneins,Baneins,Bourg-en-Bresse,46.116667,4.9
01029,01270,Beaupont,Beaupont,Bourg-en-Bresse,46.4,5.266667
01030,01480,Beauregard,Beauregard,Bourg-en-Bresse,,
01031,01810,Bellignat,Bellignat,Nantua,46.25,5.616667
01032,01360,Béligneux,Béligneux,Bourg-en-Bresse,45.866667,5.116667
01033,01200,Bellegarde-sur-Valserine,Bellegarde-sur-Valserine,Nantua,46.1,5.816667
01034,01300,Belley,Belley,Belley,45.766667,5.683333
01035,01130,Belleydoux,Belleydoux,Nantua,46.25,5.766667
01036,01260,Belmont-Luthézieu,Belmont-Luthézieu,Belley,,
01037,01470,Bénonces,Bénonces,Belley,45.833333,5.483333
01038,01370,Bény,Bény,Bourg-en-Bresse,46.333333,5.283333
01039,01350,Béon,Béon,Belley,45.833333,5.75
